width (um),neff - mode1,TE pol fraction - mode1,neff - mode2,TE pol fraction - mode2,neff - mode3,TE pol fraction - mode3,neff - mode4,TE pol fraction - mode4,neff - mode5,TE pol fraction - mode5,neff - mode6,TE pol fraction - mode6,neff - mode7,TE pol fraction - mode7,neff - mode8,TE pol fraction - mode8
0.1,1.449415062,0.006235708,1.409088207,0.998212872,1.393674141,6.49E-06,1.391817785,0.208701585,1.38838553,0.792612313,1.360030187,0.994648463,1.349216634,3.46E-05,1.345509954,0.005718067
0.11,1.452438251,0.007543601,1.410992036,0.997552244,1.393933641,8.41E-06,1.392296081,0.209087843,1.388450574,0.792932224,1.361977762,0.994524829,1.349475513,4.63E-05,1.348472906,0.006507132
0.12,1.455730913,0.008914877,1.413241984,0.996740133,1.394193079,1.37E-05,1.392819357,0.210234191,1.388515534,0.792681046,1.363954425,0.994477908,1.351470742,0.007191018,1.349733037,6.37E-05
0.13,1.45950856,0.010584448,1.416170934,0.995593676,1.394452966,1.69E-05,1.393338123,0.211163058,1.388580175,0.792690118,1.366083989,0.994432044,1.354599765,0.007876141,1.349988721,8.15E-05
0.14,1.463664179,0.012311454,1.419692015,0.994206593,1.394713217,2.55E-05,1.393896463,0.212687598,1.388644783,0.792291492,1.368187773,0.994514518,1.357737017,0.008389476,1.350243207,0.000107556
0.15,1.468359384,0.014355299,1.424345602,0.992288429,1.394974298,3.02E-05,1.394464077,0.214186127,1.388709186,0.792008326,1.370379687,0.994650139,1.360910102,0.008857891,1.35049592,0.000133823
0.16,1.473552124,0.016415854,1.429961328,0.990060151,1.395236246,4.28E-05,1.395058361,0.216156072,1.388773574,0.791424135,1.372448027,0.994937106,1.36405211,0.009103087,1.350747535,0.000170367
0.17,1.479288534,0.018764478,1.437393699,0.987099373,1.395678061,0.218272041,1.395499384,4.94E-05,1.388837902,0.790841216,1.374502,0.995293461,1.367115601,0.009287094,1.350997459,0.000207007
0.18,1.485637158,0.021048419,1.446368613,0.983825848,1.396316561,0.220758093,1.395763988,6.66E-05,1.388902236,0.790046304,1.376356292,0.995758339,1.370110494,0.009235785,1.35124642,0.00025682
0.19,1.492465151,0.023550827,1.458093672,0.979683207,1.396996338,0.223570207,1.396030096,7.56E-05,1.38896669,0.789138665,1.378104823,0.996243847,1.372926848,0.00915377,1.35149376,0.000306241
0.2,1.499984136,0.025877484,1.472112363,0.975356687,1.397685696,0.226639673,1.396298443,9.79E-05,1.389031154,0.788106422,1.379628639,0.996754447,1.375647263,0.008867972,1.351740271,0.000372288
0.21,1.507850375,0.028342534,1.489998135,0.970164077,1.398434162,0.230234118,1.396568567,0.000109788,1.389095954,0.786839376,1.381010006,0.997227399,1.378128444,0.008617359,1.351985217,0.000437034
0.22,1.516443657,0.030526373,1.511146085,0.965091742,1.399184631,0.233979511,1.396841854,0.000138278,1.3891608,0.785514434,1.382203349,0.997672887,1.380505736,0.008228803,1.352229509,0.000522984
0.23,1.537401997,0.959399734,1.525281728,0.032798787,1.400021554,0.238514153,1.397117124,0.000153776,1.389226282,0.783789247,1.38326592,0.998062069,1.382642382,0.007960188,1.352472337,0.000607239
0.24,1.567254157,0.954475261,1.534684229,0.034694448,1.400837943,0.242998421,1.397396776,0.000190097,1.38929189,0.782028157,1.384648209,0.007707868,1.384179838,0.998402147,1.352714572,0.000716173
0.25,1.602766978,0.949476947,1.544246289,0.036662307,1.401772345,0.248558169,1.397678528,0.00021105,1.389358672,0.779456963,1.386444967,0.00789668,1.384989872,0.998695422,1.352955466,0.000823425
0.26,1.641669641,0.945892319,1.554268694,0.038214222,1.402677972,0.253976815,1.397966165,0.000257136,1.389427356,0.774560833,1.388120354,0.010525499,1.385701862,0.998942245,1.35319592,0.00096044
0.27,1.68508257,0.942775071,1.564276349,0.039835697,1.403729235,0.260724966,1.398256049,0.000286552,1.389653411,0.134451247,1.389454502,0.65046496,1.386328011,0.999156035,1.353435096,0.001094983
0.28,1.730702574,0.941400845,1.574732967,0.04103971,1.404747855,0.267279937,1.398553498,0.000344778,1.391026512,0.006288323,1.38955312,0.773282273,1.386895303,0.999330044,1.35367404,0.001266053
0.29,1.778448622,0.940576943,1.585002484,0.042333659,1.405948181,0.2754753,1.398853953,0.000387214,1.392267846,0.005116587,1.389623721,0.771185802,1.38739124,0.999483295,1.353911759,0.001433169
0.3,1.826644217,0.941414326,1.595642287,0.04320546,1.407106116,0.283378848,1.399162911,0.000460415,1.393442251,0.004710399,1.389693236,0.768470421,1.387854317,0.99960204,1.354149454,0.00164543
0.31,1.874537561,0.942483169,1.605957404,0.044193768,1.408491361,0.293287141,1.399476289,0.000520545,1.39448071,0.004471161,1.389764265,0.764916541,1.388257776,0.999709727,1.354385984,0.001852483
0.32,1.9216379,0.944836399,1.616621597,0.044787578,1.409833521,0.302848676,1.399799394,0.000613953,1.395471655,0.004230529,1.389835576,0.761480722,1.388645779,0.999784786,1.35462273,0.002113773
0.33,1.966757053,0.94701339,1.626828406,0.045512694,1.411460495,0.314823663,1.400128612,0.000698386,1.396347174,0.00403885,1.389908963,0.757174592,1.388983272,0.999856095,1.354858368,0.002369206
0.34,2.010480469,0.950115215,1.637366603,0.045877181,1.413042837,0.326336095,1.400469049,0.000818586,1.397189788,0.003845635,1.389983075,0.752987885,1.389316838,0.99989508,1.355094491,0.00268992
0.35,2.051354364,0.952735288,1.647337161,0.046376879,1.414983086,0.340669986,1.400818091,0.0009364,1.397934509,0.003664298,1.39005968,0.747812098,1.389607139,0.999935167,1.355329561,0.003004828
0.36,2.090828882,0.956002233,1.657643072,0.046565316,1.4168922,0.354493073,1.401179427,0.001091965,1.398658332,0.003502396,1.390137587,0.74267291,1.389901196,0.999942076,1.355565436,0.003397521
0.37,2.127119077,0.958638155,1.667293886,0.046876866,1.419250241,0.371454269,1.401553219,0.001255367,1.399298411,0.003327628,1.390218412,0.73642303,1.390158104,0.999952829,1.355800335,0.003786089
0.38,2.162221072,0.961738975,1.677279982,0.046935676,1.421602841,0.387852874,1.401940005,0.001457969,1.39992613,0.003191233,1.39042357,0.999929089,1.390301335,0.730069136,1.356036363,0.004266673
0.39,2.1941484,0.964160903,1.686569096,0.047094317,1.424529041,0.407601466,1.402345077,0.001684191,1.400482607,0.003025294,1.390657227,0.999909831,1.390387707,0.722447619,1.356271551,0.0047468
0.4,2.225143603,0.966956968,1.696160126,0.047061971,1.427481262,0.426611592,1.402762838,0.001949339,1.401031566,0.0029128,1.390902722,0.999854666,1.390477236,0.714537017,1.356535,0.567471991
0.41,2.253117935,0.969089686,1.705023133,0.04709803,1.431162786,0.448897602,1.403205538,0.002259019,1.401519484,0.002761804,1.391121218,0.999802628,1.390570834,0.705182887,1.358901606,0.55761996
0.42,2.280457671,0.971528201,1.714210238,0.047007952,1.434944112,0.470328665,1.403663484,0.002611653,1.402004868,0.0026693,1.391353523,0.999712981,1.390669257,0.695192199,1.361073635,0.549357985
0.43,2.304961074,0.973357044,1.722620593,0.046946737,1.439635461,0.494520092,1.404152721,0.003034116,1.402436839,0.002536,1.39156335,0.999623116,1.390772436,0.683576649,1.363349197,0.540894772
0.44,2.329107057,0.975451408,1.731391801,0.046828976,1.444541333,0.517690063,1.404662323,0.003509297,1.402869997,0.002461482,1.391788406,0.99949361,1.390882922,0.67079941,1.365450297,0.534866869
0.45,2.350631793,0.97699424,1.739344399,0.046692077,1.450574725,0.542776411,1.405209938,0.004085782,1.403256364,0.002346887,1.3919954,0.999358343,1.3909991,0.656155703,1.367588888,0.529887784
0.46,2.371987939,0.97878269,1.747693098,0.046574661,1.456971063,0.566597539,1.405786475,0.004734511,1.403646113,0.002288353,1.392218453,0.999180683,1.391126096,0.639629141,1.36957132,0.52845015
0.47,2.391027247,0.98008129,1.755251143,0.046387934,1.464780407,0.591441216,1.40640951,0.005524154,1.403996537,0.002194611,1.392429315,0.998987906,1.391260495,0.620824149,1.371535742,0.529492747
0.48,2.409900244,0.981597997,1.763122705,0.046292742,1.473078279,0.614728632,1.40707259,0.006421019,1.404348682,0.002147821,1.39265429,0.998751276,1.39141016,0.59929744,1.37335075,0.535325855
0.49,2.42681494,0.982690786,1.770273347,0.046079343,1.48310709,0.638291311,1.407792787,0.007509929,1.404669199,0.002072864,1.392874688,0.998485114,1.391570103,0.574929318,1.375103473,0.544992756
0.5,2.443536951,0.983974688,1.777704515,0.046034969,1.493822781,0.660287797,1.408570947,0.008764156,1.404990319,0.002037382,1.393106924,0.998172767,1.391751683,0.546700414,1.376726046,0.560591922
0.51,2.458736356,0.984909041,1.784459396,0.045825435,1.506618271,0.682194716,1.409419179,0.010277774,1.405286053,0.001979861,1.393344216,0.997809387,1.391949002,0.514867155,1.378257556,0.581148373
0.52,2.473489629,0.985983499,1.791474345,0.045867338,1.520184668,0.702385335,1.410351431,0.012049104,1.405581428,0.001954602,1.393588651,0.99739863,1.392174388,0.478413933,1.379662567,0.608164862
0.53,2.487128304,0.986777158,1.797814186,0.045674653,1.536136454,0.722456503,1.41137113,0.014170309,1.405855553,0.001912309,1.393848785,0.996908634,1.39242305,0.437939284,1.380960172,0.640409555
0.54,2.500259914,0.987685793,1.804478434,0.045890515,1.55296242,0.74076968,1.412511961,0.016685471,1.406130688,0.001897392,1.394114197,0.996361837,1.392710077,0.392425663,1.382146989,0.678840291
