bezier,transmission (dB) - fundamental mode,transmission (dB) - total output power,input power (W)
0.1,0.018631123,0.012016218,0.999630454
0.11,0.016136381,0.013192634,0.999668224
0.12,0.016988767,0.01123943,0.999926248
0.13,0.012962665,0.011090096,0.999833376
0.14,0.0158621,0.010321766,0.999767957
0.15,0.014331045,0.012155043,0.999653775
0.16,0.012931685,0.009722616,0.999719726
0.17,0.012218424,0.010486266,0.999678764
0.18,0.012777599,0.009874462,0.99894912
0.19,0.012636834,0.010583659,0.999589295
0.2,0.011204609,0.008534883,0.999880633
0.21,0.012916123,0.01098204,0.998926512
0.22,0.010220493,0.008648303,0.999279962
0.23,0.010395601,0.008762779,0.998094755
0.24,0.011058797,0.008506282,0.999930694
0.25,0.009984264,0.00864836,0.999854575
0.26,0.01088897,0.00891185,0.999291116
0.27,0.01052655,0.008529729,0.99950931
0.28,0.009924958,0.008637997,0.998122755
0.29,0.009918236,0.00846289,0.999865532
0.3,0.012140766,0.009718114,0.999212177
0.31,0.009872323,0.008152789,0.999530115
0.32,0.012118385,0.008747822,0.999810377
0.33,0.011297745,0.008749337,0.998713419
0.34,0.012295785,0.008197399,0.999770452
0.35,0.013903518,0.009167438,0.998620535
0.36,0.013567452,0.00923015,0.999669729
0.37,0.017813618,0.011037092,0.999050621
0.38,0.013722551,0.009295733,0.999038003
0.39,0.01768221,0.010777662,0.998812422
