["input_wg",""]
["output_wg_bottom",""]
["output_wg_top",""]
("input_wg","mode 1",1,"input_wg",1,"transmission")
(5, 3)
1.9341448903225806e+14 8.3290610806207033e-02 -2.9044681260895017e-01
3.3243115302419356e+14 1.4656640680750074e-01 -1.1684411000072357e+00
4.7144781701612900e+14 2.0406443426870660e-01 -6.2315478848591010e-01
6.1046448100806450e+14 1.7808266852813306e-01 6.7255419419815010e-01
7.4948114500000000e+14 2.3464236619331238e-01 3.4630339198899924e+00
("input_wg","mode 1",1,"output_wg_top",1,"transmission")
(5, 3)
1.9341448903225806e+14 7.2278809613573436e-01 -3.0777614013907706e+00
3.3243115302419356e+14 4.9268147013341057e-01 -1.0173420457366228e-01
4.7144781701612900e+14 4.9305846371649836e-01 2.7789965492014348e+00
6.1046448100806450e+14 4.7485246651222673e-01 2.1356122557575352e-01
7.4948114500000000e+14 4.3208359480488107e-01 -1.5667232643583824e+00
("input_wg","mode 1",1,"output_wg_bottom",1,"transmission")
(5, 3)
1.9341448903225806e+14 7.2230503992448492e-01 -3.0766204741942009e+00
3.3243115302419356e+14 4.9246438171376566e-01 -1.0168043616292914e-01
4.7144781701612900e+14 4.9291533484563266e-01 2.7785309640235885e+00
6.1046448100806450e+14 4.7456305144035071e-01 2.1321888892733212e-01
7.4948114500000000e+14 4.3160302745035101e-01 -1.5683190324036380e+00
("output_wg_top","mode 1",1,"input_wg",1,"transmission")
(5, 3)
1.9341448903225806e+14 7.0506465471089441e-01 2.9333184464172768e+00
3.3243115302419356e+14 5.1509171880807947e-01 -1.1256337790223980e-01
4.7144781701612900e+14 5.2413892840574361e-01 2.7965087646969811e+00
6.1046448100806450e+14 5.4282885866246322e-01 2.6791083382484598e-01
7.4948114500000000e+14 5.2373274260479508e-01 -1.4764846901088595e+00
("output_wg_top","mode 1",1,"output_wg_top",1,"transmission")
(5, 3)
1.9341448903225806e+14 6.1437377278328560e+00 1.2287137370428973e-01
3.3243115302419356e+14 9.6909564831899372e-02 -2.6198091734648030e+00
4.7144781701612900e+14 1.0219821545977487e-01 -1.0274357865163926e+00
6.1046448100806450e+14 6.5848982935407835e-02 -8.0521135411938249e-01
7.4948114500000000e+14 8.8685469306149400e-02 -2.5818624492956990e+00
("output_wg_top","mode 1",1,"output_wg_bottom",1,"transmission")
(5, 3)
1.9341448903225806e+14 6.1393312526774508e+00 1.2447804345919740e-01
3.3243115302419356e+14 1.2861051110571964e-01 2.9207644712544029e-01
4.7144781701612900e+14 7.4068523803783509e-02 1.8177570578810411e+00
6.1046448100806450e+14 1.2980125585271282e-01 2.2882479412649634e+00
7.4948114500000000e+14 1.5547424779287120e-01 -5.5144273441971103e-01
("output_wg_bottom","mode 1",1,"input_wg",1,"transmission")
(5, 3)
1.9341448903225806e+14 7.0503130924504442e-01 2.9333938554843342e+00
3.3243115302419356e+14 5.1494386449401708e-01 -1.1257050926474418e-01
4.7144781701612900e+14 5.2416638443345920e-01 2.7961638864834590e+00
6.1046448100806450e+14 5.4296629190135370e-01 2.6794405055886406e-01
7.4948114500000000e+14 5.2334379499221939e-01 -1.4770109940035538e+00
("output_wg_bottom","mode 1",1,"output_wg_top",1,"transmission")
(5, 3)
1.9341448903225806e+14 6.1431695945845322e+00 1.2341228484962243e-01
3.3243115302419356e+14 1.2848640609769862e-01 2.9226945152094164e-01
4.7144781701612900e+14 7.3975081009897289e-02 1.8186631634247392e+00
6.1046448100806450e+14 1.2963130949833787e-01 2.2871276916406935e+00
7.4948114500000000e+14 1.5518865235109941e-01 -5.5220762571695348e-01
("output_wg_bottom","mode 1",1,"output_wg_bottom",1,"transmission")
(5, 3)
1.9341448903225806e+14 6.1393164903765403e+00 1.2408779141831230e-01
3.3243115302419356e+14 9.7068983116622140e-02 -2.6203171513541905e+00
4.7144781701612900e+14 1.0227232133668226e-01 -1.0275914994249857e+00
6.1046448100806450e+14 6.5896110229443652e-02 -8.0432278987271189e-01
7.4948114500000000e+14 8.8730120728588061e-02 -2.5832867733635978e+00
